TÍTULO,AUTOR,GÊNERO,ANO,SINOPSE CURTA
Frankenstein,Mary Shelley,Ficção Científica/Gótico,1818,"O cientista Victor Frankenstein cria uma criatura senciente por meio de métodos científicos. A criatura, rejeitada, busca vingança contra seu criador."
O Senhor dos Anéis,J.R.R. Tolkien,Fantasia Épica,1954,"O hobbit Frodo Bolseiro herda um anel mágico e embarca em uma perigosa jornada para destruí-lo nas forjas de Mordor, antes que o Senhor do Escuro o use."
Duna,Frank Herbert,Ficção Científica,1965,"A Casa Atreides assume o controle do planeta desértico Arrakis, única fonte da especiaria 'melange', em meio a conspirações intergalácticas e vermes gigantes."
O Hobbit,J.R.R. Tolkien,Fantasia,1937,"O pacato hobbit Bilbo Bolseiro é recrutado por Gandalf e um grupo de anões para roubar um tesouro guardado pelo temível dragão Smaug."
Contos de Canterbury,Geoffrey Chaucer,Poesia/Contos,c. 1400,"Uma coleção de contos narrados por um grupo diversificado de peregrinos a caminho de Canterbury, cada um refletindo a moral e a sociedade da época."
Hamlet,William Shakespeare,Tragédia,c. 1603,"O Príncipe Hamlet da Dinamarca busca vingança contra seu tio, Cláudio, que assassinou o pai de Hamlet e se casou com sua mãe."
Édipo Rei,Sófocles,Tragédia Grega,c. 429 a.C.,"O rei de Tebas descobre que, sem saber, cumpriu a terrível profecia de matar seu pai e casar-se com sua mãe, numa obra sobre o destino e a busca pela verdade."
O Processo,Franz Kafka,Romance Filosófico,1925,"Josef K., um funcionário de banco, é subitamente preso por um crime desconhecido e passa a lutar contra um sistema judicial inacessível e absurdo."
O Nome da Rosa,Umberto Eco,Romance Histórico/Mistério,1980,"No século XIV, o frade franciscano William de Baskerville investiga uma série de mortes misteriosas em um mosteiro italiano isolado."
O Retrato de Dorian Gray,Oscar Wilde,Ficção Gótica,1891,"Um jovem bonito deseja que seu retrato envelheça e registre suas ações pecaminosas, enquanto ele permanece eternamente jovem e imaculado."
Mrs. Dalloway,Virginia Woolf,Romance Modernista,1925,"Acompanha Clarissa Dalloway em um único dia, enquanto ela prepara uma festa em Londres. Explora as memórias e a mente dos personagens."
O Morro dos Ventos Uivantes,Emily Brontë,Romance Gótico,1847,"A intensa e destrutiva paixão entre Heathcliff e Catherine Earnshaw, envolvendo vingança e obsessão nas charnecas de Yorkshire."
As Crônicas de Nárnia: O Leão, a Feiticeira e o Guarda-Roupa,C.S. Lewis,Fantasia Juvenil,1950,"Quatro irmãos descobrem um mundo mágico escondido em um guarda-roupa, onde a Feiticeira Branca impôs um inverno eterno."
O Apanhador no Campo de Centeio,J.D. Salinger,Ficção de Formação,1951,"O adolescente Holden Caulfield, expulso do colégio, narra sua crise de identidade e sua visão cínica sobre a ""falsidade"" do mundo adulto em Nova York."
Sobre a Brevidade da Vida,Sêneca,Filosofia Estoica,c. 49 d.C.,"O filósofo estoico argumenta que a vida não é curta, mas desperdiçamos grande parte dela em atividades frívolas e em preocupações com o futuro."
Meditações,Marco Aurélio,Filosofia Estoica,c. 170 d.C.,"Reflexões pessoais do imperador romano sobre como viver uma vida virtuosa, equilibrada e em harmonia com o universo, aceitando o destino."
Sapiens: Uma Breve História da Humanidade,Yuval Noah Harari,Não-Ficção/História,2014,"Examina o percurso da humanidade desde o Homo Sapiens até o presente, focando nas três grandes revoluções: Cognitiva, Agrícola e Científica."
Primavera Silenciosa,Rachel Carson,Não-Ficção/Ecologia,1962,"O livro denuncia o uso indiscriminado de pesticidas (como o DDT) e seu impacto devastador sobre o meio ambiente e a vida selvagem."
O Poder do Agora,Eckhart Tolle,Não-Ficção/Espiritualidade,1997,"O guia espiritual ensina que a chave para a paz e a iluminação é viver plenamente no presente, livre das amarras do passado e da ansiedade do futuro."
Capitães da Areia,Jorge Amado,Romance Social,1937,"A vida e as aventuras de um grupo de meninos de rua, liderados por Pedro Bala, que vivem de pequenos furtos e vagam pelas praias de Salvador."
Claro Enigma,Carlos Drummond de Andrade,Poesia,1951,"Uma coleção de poemas que abordam temas como o amor, a passagem do tempo e o existencialismo com um tom mais sombrio e filosófico."
A Cor Púrpura,Alice Walker,Romance Histórico,1982,"A vida da afro-americana Celie, que sofre abusos no sul dos EUA no início do século XX, e sua jornada para encontrar a voz e a liberdade."
Beloved,Toni Morrison,Realismo Mágico,1987,"Sethe, uma ex-escrava, é assombrada pelo fantasma de sua filha, Beloved, que ela matou para salvá-la de retornar à escravidão."
Guia do Mochileiro das Galáxias,Douglas Adams,Ficção Científica/Comédia,1979,"Arthur Dent, o último humano sobrevivente da Terra (que foi destruída para dar lugar a uma via expressa intergaláctica), embarca em aventuras pelo universo."
O Alquimista,Paulo Coelho,Ficção Filosófica,1988,"Um jovem pastor espanhol viaja em busca de um tesouro no Egito, aprendendo sobre a importância de seguir a ""Lenda Pessoal"" e os sinais do universo."
Lolita,Vladimir Nabokov,Romance Controverso,1955,"O professor Humbert Humbert narra sua obsessão por uma jovem de doze anos, Dolores Haze, a quem ele chama de Lolita."
O Som e a Fúria,William Faulkner,Romance Modernista,1929,"A decadência da família Compson no sul dos EUA, contada através de quatro perspectivas diferentes, incluindo o fluxo de consciência de um deficiente mental."
Coração das Trevas,Joseph Conrad,Novela Psicológica,1899,"Marlow viaja pelo Rio Congo em busca do enigmático comerciante de marfim Kurtz, confrontando a selvageria do colonialismo e a escuridão da alma humana."
Cujo,Stephen King,Horror,1981,"Um cão São Bernardo é mordido por um morcego raivoso, transformando-se em uma máquina assassina que aterroriza uma mãe e seu filho presos em um carro."
Guerra e Paz,Liev Tolstói,Romance Histórico,1869,"A história de cinco famílias aristocráticas russas e suas vidas entrelaçadas durante as invasões napoleônicas no início do século XIX."
As Aventuras de Huckleberry Finn,Mark Twain,Romance Satírico,1884,"Huck Finn, fugindo da civilização e de seu pai abusivo, viaja pelo Rio Mississippi com o escravo Jim, em busca de liberdade."
O Segundo Sexo,Simone de Beauvoir,Filosofia Feminista,1949,"Uma análise profunda das opressões sofridas pela mulher na sociedade, que estabeleceu as bases do feminismo moderno ao explorar o que significa ""ser mulher""."
Um Mundo Feliz,Aldous Huxley,Distopia,1932,"Uma sociedade futura controlada pela ciência e tecnologia, onde os humanos são geneticamente condicionados e felizes através de drogas, eliminando a individualidade."
O Nome do Vento,Patrick Rothfuss,Fantasia Épica,2007,"Kvothe, um lendário herói e mago, narra a um cronista a verdadeira história de sua vida, desde a infância até se tornar uma figura controversa."
O Deus das Pequenas Coisas,Arundhati Roy,Romance Contemporâneo,1997,"A história de gêmeos fraternos e a influência de uma tragédia infantil em suas vidas adultas, explorando as complexas leis sociais de amor e casta na Índia."
O Talento de Mr. Ripley,Patricia Highsmith,Thriller Psicológico,1955,"Tom Ripley, um jovem charmoso, mas amoral, é enviado à Itália para convencer um playboy a voltar para casa, o que desencadeia uma teia de mentiras e identidade roubada."
A História de Uma Serva,Margaret Atwood,Ficção Especulativa,1985,"Offred é uma Serva em Gilead, um regime teocrático onde as mulheres férteis são forçadas a procriar para a elite, e luta por sua sobrevivência e memória."
Terra Sonâmbula,Mia Couto,Realismo Mágico,1992,"Durante a guerra civil em Moçambique, um velho e um menino encontram um diário em um ônibus queimado, mergulhando nas memórias de um professor."
O Tempo e o Vento (O Continente),Erico Verissimo,Romance Histórico,1949,"A saga épica da família Terra-Cambará e sua participação na história do Rio Grande do Sul, desde o século XVIII até o início do século XX."
O Leopardo,Giuseppe Tomasi di Lampedusa,Romance Clássico,1958,"O Príncipe de Salina, um nobre siciliano, tenta preservar sua família e seu status social durante o turbulento período da Unificação Italiana (Risorgimento)."
A Revolução dos Bichos,George Orwell,Sátira Política,1945,"Os animais de uma fazenda se rebelam contra os humanos, mas a nova sociedade ideal logo se corrompe e é dominada pelos porcos, liderados pelo ambicioso Napoleão."
As Flores do Mal,Charles Baudelaire,Poesia/Simbolismo,1857,"Uma coleção poética que explora temas de decadência, melancolia, beleza e o lado sombrio da vida urbana, escandalizando a sociedade da época."
O Conto da Aia,Margaret Atwood,Ficção Especulativa,1985,"Versão alternativa do título ""A História de Uma Serva"" no Brasil, retratando o regime opressor de Gilead onde Offred luta por sua liberdade."
A Casa dos Espíritos,Isabel Allende,Realismo Mágico,1982,"A saga de três gerações da família Trueba, abrangendo um século de transformações políticas e sociais na América Latina."
20.000 Léguas Submarinas,Júlio Verne,Ficção Científica/Aventura,1870,"O Professor Aronnax embarca na perseguição de um misterioso monstro marinho, que se revela ser o submarino Nautilus, comandado pelo enigmático Capitão Nemo."
A Morte de Ivan Ilitch,Liev Tolstói,Novela Filosófica,1886,"Um juiz de classe média alta confronta a futilidade de sua vida e a inevitabilidade da morte após um diagnóstico fatal."
A Náusea,Jean-Paul Sartre,Ficção Existencialista,1938,"O historiador Antoine Roquentin, em Bouville, desenvolve uma profunda repulsa pelo mundo e pelos objetos, levando-o a uma crise existencial radical."
O Sol Também Se Levanta,Ernest Hemingway,Romance Modernista,1926,"A história da ""Geração Perdida"", um grupo de expatriados americanos e britânicos, e suas vidas amorosas e viagens pela Europa pós-Primeira Guerra."
Admirável Mundo Novo,Aldous Huxley,Distopia,1932,"Em um futuro onde a estabilidade é mantida através do condicionamento e do prazer farmacológico (Soma), a chegada de um Selvagem ameaça o sistema."
Em Busca do Tempo Perdido (No Caminho de Swann),Marcel Proust,Romance Modernista,1913,"O volume inaugural explora a infância do narrador em Combray, estabelecendo o tema central da memória involuntária e da busca pela verdade."
O Processo,Franz Kafka,Romance Filosófico,1925,"Josef K., um funcionário de banco, é subitamente preso por um crime desconhecido e passa a lutar contra um sistema judicial inacessível e absurdo."
A Mulher de Trinta Anos,Honoré de Balzac,Romance Realista,1842,"Uma jovem burguesa, atormentada por um casamento infeliz, vive uma busca frustrada por felicidade, paixão e realização ao longo de várias décadas."
Os Miseráveis,Victor Hugo,Romance Histórico,1862,"A épica história de redenção de Jean Valjean, que passa décadas fugindo do implacável inspetor Javert em meio às turbulências sociais da França."
Cândido,Voltaire,Sátira Filosófica,1759,"O ingênuo Cândido é expulso do paraíso e embarca em uma série de desventuras, confrontando a filosofia otimista de seu tutor, Pangloss."
1Q84,Haruki Murakami,Romance Contemporâneo,2009,"Uma professora de ginástica (Aomame) e um escritor (Tengo) descobrem que estão vivendo em uma realidade paralela, marcada pela presença das ""Little People""."
A Estrada,Cormac McCarthy,Ficção Pós-apocalíptica,2006,"Um pai e seu filho viajam por uma paisagem devastada, lutando pela sobrevivência e tentando manter sua humanidade em um mundo de desespero."
As Intermitências da Morte,José Saramago,Alegoria,2005,"Em um país, a morte subitamente para de funcionar, gerando caos social, político e religioso, e forçando a sociedade a confrontar a imortalidade."
O Código Da Vinci,Dan Brown,Thriller/Mistério,2003,"O simbologista Robert Langdon se envolve em uma caçada global por segredos religiosos e históricos após um assassinato no Museu do Louvre."
O Silmarillion,J.R.R. Tolkien,Alta Fantasia,1977,"O compêndio de mitos e lendas da Terra Média, narrando a criação do mundo, as eras antigas e a luta pelo Silmaril."
As Três Marias,Rachel de Queiroz,Romance Regionalista,1939,"A história de três amigas (Guta, Maria José e Maria da Glória) que deixam o internato e buscam a felicidade em meio às restrições sociais do Nordeste."
Macbeth,William Shakespeare,Tragédia,c. 1606,"Um ambicioso general escocês recebe uma profecia de que será rei, levando ele e sua esposa a cometerem assassinatos para ascender ao trono."
Electra,Sófocles,Tragédia Grega,c. 410 a.C.,"Electra trama vingança pelo assassinato de seu pai, o Rei Agamenon, pelas mãos de sua mãe Clitemnestra e do amante dela."
Minha História,Michelle Obama,Não-Ficção/Memória,2018,"As memórias de Michelle Obama, desde sua infância no sul de Chicago até sua vida como primeira-dama dos Estados Unidos."
O Poder do Hábito,Charles Duhigg,Não-Ficção/Psicologia,2012,"O autor explica a ciência por trás de como os hábitos se formam, como funcionam e como podem ser modificados para transformar vidas e empresas."
Uma Breve História do Tempo,Stephen Hawking,Divulgação Científica,1988,"O renomado físico explica conceitos complexos como buracos negros, a natureza do tempo e a origem do universo em linguagem acessível."
O Mundo de Sofia,Jostein Gaarder,Romance Filosófico,1991,"A adolescente Sofia Amundsen começa a receber cartas misteriosas que a levam a uma jornada através da história da filosofia ocidental."
Lolita,Vladimir Nabokov,Romance Controverso,1955,"O professor Humbert Humbert narra sua obsessão por uma jovem de doze anos, Dolores Haze, a quem ele chama de Lolita."
O Primo Basílio,Eça de Queirós,Realismo Português,1878,"Luísa, uma burguesa casada, cede a um caso com seu primo Basílio, o que a coloca em risco de chantagem e destrói sua reputação."
O Perfume,Patrick Süskind,Thriller Histórico,1985,"A vida de Jean-Baptiste Grenouille, dotado de um olfato extraordinário, que se torna um assassino em busca de criar o perfume perfeito."
O Pêndulo de Foucault,Umberto Eco,Romance/Mistério,1988,"Três editores criam um plano de conspiração místico-esotérica como um jogo, mas descobrem que o ""plano"" pode ser real e perigoso."
O Pintassilgo,Donna Tartt,Romance Contemporâneo,2013,"Theo Decker, um adolescente que perde a mãe em um ataque a um museu, rouba uma pintura valiosa e é arrastado para o submundo da arte."
A Biblioteca da Meia-Noite,Matt Haig,Ficção Contemporânea,2020,"Nora Seed tem a chance de viver infinitas vidas alternativas em uma biblioteca, tentando descobrir qual vida valeria a pena ser vivida."
O Caçador de Pipas,Khaled Hosseini,Drama Histórico,2003,"Amir, um garoto rico no Afeganistão, carrega a culpa de ter traído seu amigo Hassan, o que o leva a uma busca por redenção décadas depois."
A Vastidão da Noite (Roadside Picnic),Arkady e Boris Strugatsky,Ficção Científica,1972,"Redrick Chouhart, um ""Stalker"", arrisca sua vida para roubar artefatos perigosos deixados por alienígenas em uma zona proibida na Terra."
O Deserto dos Tártaros,Dino Buzzati,Romance Filosófico,1940,"O tenente Giovanni Drogo passa sua vida inteira em uma fortaleza isolada na fronteira, esperando por uma grande invasão que nunca acontece."
Eu, Robô,Isaac Asimov,Ficção Científica/Contos,1950,"Uma série de contos interligados que exploram as implicações éticas e lógicas das Três Leis da Robótica."
Viagem ao Centro da Terra,Júlio Verne,Ficção Científica/Aventura,1864,"Um professor e seu sobrinho encontram um manuscrito que os leva a uma aventura arriscada, descendo por um vulcão até o centro da Terra."
A Ilha do Tesouro,Robert Louis Stevenson,Aventura,1883,"O jovem Jim Hawkins encontra um mapa de tesouro e embarca em uma viagem perigosa com piratas, incluindo o icônico Long John Silver."
Poemas,Fernando Pessoa (Ortônimo e Heterônimos),Poesia,1942 (Obra póstuma),"Uma vasta coleção que representa as várias faces poéticas de Pessoa, explorando a identidade, a melancolia e o desassossego."
Anna Karenina,Liev Tolstói,Romance Clássico,1877,"O drama da aristocrata russa Anna Karenina, que desafia as normas sociais ao iniciar um caso extraconjugal, contrastando com o feliz casamento de Levin."
O Som e a Fúria,William Faulkner,Romance Modernista,1929,"A decadência da família Compson no sul dos EUA é narrada através de quatro seções, cada uma com um ponto de vista complexo e fragmentado."
O Coração das Trevas,Joseph Conrad,Novela Psicológica,1899,"Marlow viaja pelo Rio Congo em busca do enigmático comerciante de marfim Kurtz, confrontando a selvageria do colonialismo e a escuridão da alma humana."
Um Quarto Só Seu,Virginia Woolf,Ensaio Feminista,1929,"Ensaio que argumenta que para uma mulher escrever ficção, ela precisa de dinheiro e ""um quarto só seu"" – espaço e independência financeira."
O Velho e o Mar,Ernest Hemingway,Novela,1952,"Um velho pescador cubano, Santiago, passa 84 dias sem pescar nada. Em sua última tentativa, ele trava uma luta épica contra um peixe gigante."
O Despertar,Kate Chopin,Romance Feminista,1899,"Edna Pontellier, uma mulher casada da alta sociedade de Nova Orleans, busca a liberdade e a autonomia pessoal, desafiando as expectativas de seu tempo."
O Castelo,Franz Kafka,Romance Filosófico,1926,"K. chega a uma vila para trabalhar como agrimensor para a misteriosa autoridade do Castelo. Sua luta para obter acesso é marcada pela burocracia e pelo absurdo."
A Montanha Mágica,Thomas Mann,Romance Filosófico,1924,"Hans Castorp visita um sanatório de tuberculosos nos Alpes e, inicialmente planeja uma breve estadia, acaba permanecendo por sete anos, refletindo sobre vida e tempo."
Doutor Jivago,Boris Pasternak,Romance Histórico,1957,"A épica história de Yuri Jivago, um médico e poeta, e seu amor por Lara, em meio aos turbulentos anos da Revolução Russa e da Guerra Civil."
Trópico de Câncer,Henry Miller,Romance Autobiográfico,1934,"O narrador, um escritor americano em Paris, descreve sua vida boêmia, marcada por dificuldades financeiras, sexo e reflexões sobre a arte."
E o Vento Levou...,Margaret Mitchell,Romance Histórico,1936,"A obstinada sulista Scarlett O'Hara luta pela sobrevivência e por seu amor, Ashley Wilkes, durante e após a Guerra Civil Americana."
A Odisseia,Homero,Poesia Épica,c. Século VIII a.C.,"A longa e perigosa jornada de Ulisses (Odisseu) para retornar à sua casa em Ítaca após a Guerra de Troia, enfrentando deuses e monstros."
As Relações Perigosas,Pierre Choderlos de Laclos,Romance Epistolar,1782,"Dois aristocratas libertinos, a Marquesa de Merteuil e o Visconde de Valmont, usam o sexo e a sedução como armas de manipulação social."
O Retorno de Sherlock Holmes,Arthur Conan Doyle,Contos Policiais,1905,"Holmes retorna após sua suposta morte, resolvendo treze casos, incluindo ""A Casa Vazia"" e ""A Aventura do Colégio Priory""."
Alice no País das Maravilhas,Lewis Carroll,Fantasia Infantil,1865,"Alice cai na toca de um coelho e entra em um mundo de lógica absurda, repleto de criaturas fantásticas, como o Chapeleiro Louco e a Rainha de Copas."
Viagem ao Fim da Noite,Louis-Ferdinand Céline,Romance Antirromântico,1932,"Ferdinand Bardamu narra sua desilusão e sua jornada cínica pela Primeira Guerra Mundial, África e o submundo de Nova York e Paris."
O Idiota,Fiódor Dostoiévski,Romance Psicológico,1869,"O Príncipe Míchkin, um homem ingênuo e bondoso, retorna à sociedade russa e se depara com a ganância, a corrupção e os complexos jogos de amor."
A Dama das Camélias,Alexandre Dumas Filho,Romance Dramático,1848,"A trágica história de amor entre Armand Duval e Marguerite Gautier, uma cortesã parisiense que vive uma vida de luxo e sacrifício."
A Gaiola de Ouro,Doris Lessing,Romance Contemporâneo,1962,"Anna Wulf, uma escritora, tenta dar sentido à sua vida caótica dividindo-a em quatro cadernos coloridos, explorando política, amor e feminismo."
O Barão nas Árvores,Italo Calvino,Romance Pós-moderno,1957,"O jovem Cosimo Piovasco di Rondò, aos doze anos, decide subir em uma árvore e nunca mais descer, vivendo o resto da vida nos galhos."
A Guerra do Fim do Mundo,Mario Vargas Llosa,Romance Histórico,1981,"Baseado no conflito de Canudos, na Bahia, no final do século XIX, o livro explora o fanatismo religioso e a violência do poder."
O Luto Explica (The Year of Magical Thinking),Joan Didion,Não-Ficção/Memória,2005,"O relato cru de Didion sobre o ano seguinte à morte repentina de seu marido e a grave doença de sua filha."
A Idade da Razão,Jean-Paul Sartre,Ficção Existencialista,1945,"O professor de filosofia Mathieu Delarue, em Paris, busca dinheiro para um aborto, enquanto confronta a liberdade e a responsabilidade de suas escolhas."
O Bulevar do Sonho Desfeito,Clarice Lispector,Contos,1984 (Obra póstuma),"Uma coletânea de textos que exploram a interioridade, a solidão e a condição humana com a prosa poética e intimista da autora."
A Hora da Estrela,Clarice Lispector,Novela Existencialista,1977,"A história de Macabéa, uma datilógrafa nordestina, pobre e ingênua, cujo destino é narrado por Rodrigo S.M., um escritor burguês."
Ensaio sobre o Entendimento Humano,John Locke,Filosofia,1689,"A obra central da filosofia de Locke, argumentando que a mente é uma tábula rasa, e todo o conhecimento deriva da experiência sensorial."
Medo e Delírio em Las Vegas,Hunter S. Thompson,Jornalismo Gonzo,1971,"O jornalista Raoul Duke e seu advogado viajam para Las Vegas sob efeito de drogas, cobrindo uma corrida e vivendo o colapso do Sonho Americano."
As Neves do Kilimanjaro,Ernest Hemingway,Contos,1936,"Uma coleção de contos do autor, incluindo a história-título, sobre um escritor morrendo de gangrena na África e revisitando suas memórias."
O Mundo se Despedaça,Chinua Achebe,Romance Pós-colonial,1958,"A vida de Okonkwo, um guerreiro Ibo na Nigéria, é perturbada pela chegada de missionários e colonizadores britânicos, causando um colapso cultural."
O Livro do Desassossego,Fernando Pessoa,Prosa/Fragmentos,1982 (Obra póstuma),"Uma obra fragmentada, escrita pelo semi-heterônimo Bernardo Soares, que reflete sobre a vida, a solidão e a própria existência de forma melancólica."
Os Lusíadas,Luís Vaz de Camões,Poesia Épica,1572,"Narra a viagem de Vasco da Gama às Índias, celebrando os feitos marítimos de Portugal e a história do povo lusitano."
Capitães da Areia,Jorge Amado,Romance Social,1937,"A vida e as aventuras de um grupo de meninos de rua, liderados por Pedro Bala, que vivem de pequenos furtos e vagam pelas praias de Salvador."
Incidente em Antares,Erico Verissimo,Romance Social/Fantasia,1971,"Em Antares, os coveiros entram em greve e, sete defuntos que aguardam o enterro, se levantam e vão à cidade expor os segredos de seus habitantes."
A Paixão Segundo G.H.,Clarice Lispector,Romance Filosófico,1964,"Após matar uma barata em um quarto, a protagonista G.H. inicia uma profunda crise existencial e uma jornada mística de despersonalização."
Poesias Completas,Cecília Meireles,Poesia,1985 (Edição completa),"A obra da poeta brasileira, marcada pela musicalidade, melancolia e temas como a passagem do tempo, o mar e o mistério."
O Quinze,Rachel de Queiroz,Romance Regionalista,1930,"O drama de Conceição e de Chico Bento durante a grande seca de 1915 no Nordeste, explorando o amor e a luta pela sobrevivência."
Triste Fim de Policarpo Quaresma,Lima Barreto,Sátira,1915,"O major Policarpo Quaresma, um patriota ingênuo, tenta reformar o Brasil e fracassa, expondo a burocracia, a corrupção e o ufanismo vazio."
A Queda da Casa de Usher,Edgar Allan Poe,Conto Gótico,1839,"Um narrador visita seu amigo Roderick Usher, que sofre de uma doença misteriosa, em sua mansão decadente, onde o terror gótico e o mistério se aprofundam."
O Fantasma da Ópera,Gaston Leroux,Romance Gótico,1910,"A bailarina Christine Daaé é assombrada por um gênio musical desfigurado que vive nos subterrâneos da Ópera de Paris."
O Exorcista,William Peter Blatty,Horror,1971,"Uma mãe desesperada recorre a dois padres para tentar salvar sua filha de doze anos, Regan, que está possuída por uma entidade demoníaca."
O Iluminado,Stephen King,Horror Psicológico,1977,"Jack Torrance, um escritor em recuperação, aceita um trabalho como zelador de inverno em um hotel isolado, onde a loucura e forças malignas o consomem."
Kindred: Laços de Sangue,Octavia E. Butler,Ficção Científica/Histórica,1979,"Dana, uma mulher negra moderna, é inexplicavelmente transportada no tempo para uma plantação de Maryland, onde sua família viveu como escrava."
A Cidade e as Serras,Eça de Queirós,Romance Filosófico,1901,"Jacinto, um aristocrata que ama a vida urbana de Paris, descobre a felicidade e a verdadeira civilização ao se mudar para o campo em Portugal."
O Conto da Ilha Desconhecida,José Saramago,Conto/Alegoria,1997,"Um homem exige um barco ao rei para ir em busca da ilha desconhecida. A alegoria explora o desejo, a busca e o casamento."
A Elegância do Ouriço,Muriel Barbery,Romance Contemporâneo,2006,"A vida da concierge Renee e da adolescente Paloma, ambas escondendo sua inteligência e paixão pela cultura para se adaptarem à sociedade."
O Labirinto da Solidão,Octavio Paz,Ensaio Cultural,1950,"Uma profunda meditação sobre a identidade nacional mexicana, explorando sua história, festas, cultura e a solidão inerente ao seu povo."
Crítica da Razão Pura,Immanuel Kant,Filosofia,1781,"A obra fundadora da filosofia transcendental, investigando os limites e as estruturas do conhecimento humano."
Assim Falou Zaratustra,Friedrich Nietzsche,Filosofia,1883,"O profeta Zaratustra desce da montanha para compartilhar seus ensinamentos, como o conceito de ""Übermensch"" (Super-Homem)."
A Riqueza das Nações,Adam Smith,Economia,1776,"O trabalho seminal sobre economia moderna, descrevendo a ""mão invisível"" e a divisão do trabalho como motores da prosperidade."
O Príncipe,Nicolau Maquiavel,Tratado Político,1532 (Póstumo),"O clássico tratado que oferece conselhos a um líder sobre como adquirir, manter e exercer o poder político."
